code,signal_date,buy_date,buy,sell_date,sell,pnl_pct,exit_reason,platform,signal_type,still_open,trimmed,hold_days
000039,2024-03-21,2024-03-22,8.92,2024-03-25,8.7,-2.6163677130044913,E1,8.74,entry_A,False,False,3
601988,2024-03-21,2024-03-22,3.91,2025-08-18,5.34,36.42289002557545,E2,3.86,entry_A,False,False,514
000630,2024-03-25,2024-03-26,3.55,2024-03-27,3.49,-1.840140845070409,E1,3.54,entry_A,False,False,1
600377,2024-03-25,2024-03-26,10.87,2024-04-01,10.79,-0.8859705611775569,E1,10.78,entry_A,False,False,6
601398,2024-03-25,2024-03-26,4.63,2024-03-29,4.6,-0.7979481641468721,E1,4.63,entry_A,False,False,3
600025,2024-03-26,2024-03-27,8.81,2024-09-20,9.88,11.995289443813855,E2,8.46,entry_A,False,False,177
000039,2024-03-28,2024-03-29,8.94,2024-04-24,8.93,-0.26185682326622095,E1,8.74,entry_A,False,False,26
000630,2024-03-28,2024-03-29,3.68,2024-04-24,3.54,-3.9543478260869622,E1,3.54,entry_A,False,False,26
000100,2024-03-29,2024-04-01,4.5,2024-05-08,4.39,-2.594444444444449,E1,4.31,entry_A,False,False,37
601077,2024-03-29,2024-04-01,3.98,2024-04-02,3.98,-0.15,E1,4.01,entry_A,False,False,1
601398,2024-04-01,2024-04-02,4.63,2025-09-23,6.87,48.230129589632824,E2,4.63,entry_A,False,False,539
601825,2024-04-02,2024-04-03,5.89,2024-06-14,5.86,-0.6593378607809784,E1,5.44,entry_A,False,False,72
603993,2024-04-02,2024-04-03,7.9,2024-05-23,7.52,-1.036075949367099,E1(含T1减半),7.27,entry_A,False,True,50
601077,2024-04-03,2024-04-08,4.0,2024-04-10,3.99,-0.3999999999999947,E1,4.01,entry_A,False,False,2
000338,2024-04-10,2024-04-11,15.95,2024-05-06,15.86,-0.7142633228840066,E1,15.65,entry_A,False,False,25
002648,2024-04-10,2024-04-11,17.69,2024-04-17,17.68,-0.20652911249294234,E1,17.68,entry_A,False,False,6
600066,2024-04-10,2024-04-11,17.87,2024-08-06,18.23,6.173447118074987,E2(含T1减半),17.41,entry_A,False,True,117
601939,2024-04-10,2024-04-11,6.22,2024-04-12,6.19,-0.6323151125401881,E1,6.23,entry_A,False,False,1
600188,2024-04-11,2024-04-12,16.71,2024-04-15,16.74,0.029533213644500483,E1,16.86,entry_A,False,False,3
600362,2024-04-12,2024-04-15,23.63,2024-04-17,23.45,-0.9117435463393996,E1,23.65,entry_A,False,False,2
600188,2024-04-17,2024-04-18,17.14,2024-04-23,15.95,-7.0928238039673355,E1,16.86,entry_A,False,False,5
600377,2024-04-17,2024-04-18,11.24,2024-04-29,10.64,-5.488078291814941,E1,10.78,entry_A,False,False,11
601808,2024-04-17,2024-04-18,18.37,2024-04-19,18.02,-2.0552803483941338,E1,18.32,entry_A,False,False,1
601898,2024-04-17,2024-04-18,11.32,2024-04-23,10.46,-7.747173144876324,E1,11.07,entry_A,False,False,5
688187,2024-04-17,2024-04-18,49.75,2024-04-23,48.9,-1.8585427135678398,E1,49.14,entry_A,False,False,5
002648,2024-04-19,2024-04-22,18.24,2024-04-24,16.98,-7.057894736842091,E1,17.68,entry_A,False,False,2
300979,2024-04-19,2024-04-22,59.92,2024-04-24,57.24,-4.622630173564751,E1,58.6,entry_A,False,False,2
601939,2024-04-19,2024-04-22,6.52,2025-09-09,8.79,34.665950920245386,E2,6.23,entry_A,False,False,505
002028,2024-04-24,2024-04-25,64.18,2024-07-02,63.39,-1.3809130570271164,E1,61.26,entry_A,False,False,68
600362,2024-04-24,2024-04-25,23.35,2024-06-04,23.51,0.5352248394004334,E1,23.65,entry_A,False,False,40
601298,2024-04-24,2024-04-25,7.69,2024-04-30,7.37,-4.3112483745123615,E1,7.56,entry_A,False,False,5
002648,2024-04-30,2024-05-06,18.03,2024-05-17,17.81,-1.3701885745979023,E1,17.68,entry_A,False,False,11
300979,2024-05-08,2024-05-09,62.5,2024-06-28,56.61,-9.574,E1,58.6,entry_A,False,False,50
601298,2024-05-08,2024-05-09,7.62,2024-05-17,7.6,-0.4124671916010568,E1,7.56,entry_A,False,False,8
688169,2024-05-08,2024-05-09,221.58,2024-05-17,215.14,-3.0563994945392245,E1,212.21,entry_A,False,False,8
000333,2024-05-09,2024-05-10,62.46,2024-05-21,59.84,-4.344684598142806,E1,60.55,entry_A,False,False,11
000786,2024-05-09,2024-05-10,30.39,2024-05-29,30.12,-1.0384501480750261,E1,28.66,entry_A,False,False,19
600690,2024-05-09,2024-05-10,29.18,2024-05-21,28.08,-3.9197052775873984,E1,27.99,entry_A,False,False,11
601077,2024-05-10,2024-05-13,4.03,2025-08-19,6.18,53.199875930521074,E2,4.01,entry_A,False,False,463
688506,2024-05-17,2024-05-20,187.12,2024-05-21,181.0,-3.420628473706716,E1,184.99,entry_A,False,False,1
