benchmark_equity,strategy_asset,strategy_equity,strategy_executed_target_weight,strategy_shares,trade_date
582141.7900082499,,421851.86715807265,0.0,0,2017-12-13
580292.7948082499,,421851.86715807265,0.0,0,2017-12-14
572612.35320825,,421851.86715807265,0.0,0,2017-12-15
572754.5836082499,,421851.86715807265,0.0,0,2017-12-18
580292.7948082499,,421851.86715807265,0.0,0,2017-12-19
579012.72120825,,421851.86715807265,0.0,0,2017-12-20
586124.2412082499,,421851.86715807265,0.0,0,2017-12-21
583421.8636082499,,421851.86715807265,0.0,0,2017-12-22
580719.4860082499,,421851.86715807265,0.0,0,2017-12-25
582426.25080825,,421851.86715807265,0.0,0,2017-12-26
572754.5836082499,,421851.86715807265,0.0,0,2017-12-27
578017.10840825,,421851.86715807265,0.0,0,2017-12-28
579866.1036082499,,421851.86715807265,0.0,0,2017-12-29
588399.9276082501,,421851.86715807265,0.0,0,2018-01-02
591528.9964082501,,421851.86715807265,0.0,0,2018-01-03
593377.99160825,,421851.86715807265,0.0,0,2018-01-04
595653.67800825,,421851.86715807265,0.0,0,2018-01-05
598071.59480825,510300.SH,422224.7634678326,0.25,23200,2018-01-08
602907.42840825,510300.SH,423077.92954783264,0.25,23200,2018-01-09
605467.57560825,510300.SH,423529.6057078326,0.25,23200,2018-01-10
604614.19320825,510300.SH,423379.04698783264,0.25,23200,2018-01-11
607885.49240825,510300.SH,423956.1887478326,0.25,23200,2018-01-12
606747.64920825,510300.SH,423755.4437878326,0.25,23200,2018-01-15
612863.5564082499,,423675.17717023264,0.0,0,2018-01-16
611014.56120825,,423675.17717023264,0.0,0,2018-01-17
614997.01240825,,423675.17717023264,0.0,0,2018-01-18
616703.77720825,,423675.17717023264,0.0,0,2018-01-19
624526.4492082499,,423675.17717023264,0.0,0,2018-01-22
630820.03920825,,423675.17717023264,0.0,0,2018-01-23
631251.2277082499,,423675.17717023264,0.0,0,2018-01-24
627226.8017082501,,423675.17717023264,0.0,0,2018-01-25
630388.85070825,,423675.17717023264,0.0,0,2018-01-26
618459.3022082499,,423675.17717023264,0.0,0,2018-01-29
612135.20420825,,423675.17717023264,0.0,0,2018-01-30
614003.68770825,,423675.17717023264,0.0,0,2018-01-31
609691.80270825,,423675.17717023264,0.0,0,2018-02-01
613428.7697082501,,423675.17717023264,0.0,0,2018-02-02
612853.85170825,,423675.17717023264,0.0,0,2018-02-05
595606.31170825,,423675.17717023264,0.0,0,2018-02-06
581520.8207082499,,423675.17717023264,0.0,0,2018-02-07
576777.7472082499,,423675.17717023264,0.0,0,2018-02-08
550187.78970825,,423675.17717023264,0.0,0,2018-02-09
558092.9122082501,,423675.17717023264,0.0,0,2018-02-12
564848.1987082501,,423675.17717023264,0.0,0,2018-02-13
569878.7312082499,,423675.17717023264,0.0,0,2018-02-14
581664.5502082501,,423675.17717023264,0.0,0,2018-02-22
584826.59920825,,423675.17717023264,0.0,0,2018-02-23
592300.5332082501,,423675.17717023264,0.0,0,2018-02-26
583820.49270825,,423675.17717023264,0.0,0,2018-02-27
577927.5832082499,,423675.17717023264,0.0,0,2018-02-28
582095.7387082501,510300.SH,424891.9047702327,0.25,24200,2018-03-01
578215.04220825,510300.SH,424177.73857023264,0.25,24200,2018-03-02
576921.47670825,510300.SH,423939.6831702327,0.25,24200,2018-03-05
585545.2467082501,510300.SH,425526.71917023265,0.25,24200,2018-03-06
580802.1732082501,510300.SH,424653.84937023267,0.25,24200,2018-03-07
586695.0827082501,510300.SH,425738.3239702327,0.25,24200,2018-03-08
591006.9677082499,510300.SH,426531.84197023266,0.25,24200,2018-03-09
592731.7217082501,510300.SH,426849.2491702327,0.25,24200,2018-03-12
586407.62370825,510300.SH,425685.42277023266,0.25,24200,2018-03-13
584395.4107082501,510300.SH,425315.1143702327,0.25,24200,2018-03-14
588707.29570825,510300.SH,426108.63237023266,0.25,24200,2018-03-15
582239.46820825,510300.SH,424918.35537023266,0.25,24200,2018-03-16
585401.51720825,510300.SH,425500.26857023267,0.25,24200,2018-03-19
585114.0582082501,510300.SH,425447.3673702327,0.25,24200,2018-03-20
582095.7387082501,510300.SH,424891.9047702327,0.25,24200,2018-03-21
576921.47670825,510300.SH,423939.6831702327,0.25,24200,2018-03-22
559817.66620825,510300.SH,420792.0617702326,0.25,24200,2018-03-23
557230.5352082499,,419895.4591693827,0.0,0,2018-03-26
562261.06770825,,419895.4591693827,0.0,0,2018-03-27
550906.43720825,,419895.4591693827,0.0,0,2018-03-28
560967.50220825,,419895.4591693827,0.0,0,2018-03-29
560105.12520825,,419895.4591693827,0.0,0,2018-03-30
558236.6417082499,,419895.4591693827,0.0,0,2018-04-02
554643.40420825,510300.SH,419789.9000711827,0.25,24800,2018-04-03
553206.1092082501,510300.SH,419518.83607118274,0.25,24800,2018-04-04
553924.75670825,510300.SH,419654.3680711827,0.25,24800,2018-04-09
564704.46920825,510300.SH,421687.3480711827,0.25,24800,2018-04-10
565423.11670825,510300.SH,421822.88007118274,0.25,24800,2018-04-11
559530.20720825,,421715.8368975827,0.0,0,2018-04-12
555649.5107082501,,421715.8368975827,0.0,0,2018-04-13
546882.01120825,,421715.8368975827,0.0,0,2018-04-16
538833.15920825,,421715.8368975827,0.0,0,2018-04-17
539982.99520825,,421715.8368975827,0.0,0,2018-04-18
547600.65870825,,421715.8368975827,0.0,0,2018-04-19
539120.61820825,,421715.8368975827,0.0,0,2018-04-20
541420.29020825,,421715.8368975827,0.0,0,2018-04-23
552774.92070825,,421715.8368975827,0.0,0,2018-04-24
549469.14220825,,421715.8368975827,0.0,0,2018-04-25
538545.70020825,,421715.8368975827,0.0,0,2018-04-26
539695.53620825,,421715.8368975827,0.0,0,2018-04-27
541420.29020825,,421715.8368975827,0.0,0,2018-05-02
544582.3392082499,,421715.8368975827,0.0,0,2018-05-03
541995.20820825,,421715.8368975827,0.0,0,2018-05-04
550762.70770825,,421715.8368975827,0.0,0,2018-05-07
557949.18270825,,421715.8368975827,0.0,0,2018-05-08
556368.1582082501,,421715.8368975827,0.0,0,2018-05-09
560105.12520825,,421715.8368975827,0.0,0,2018-05-10
556799.3467082501,159915.SZ,419962.41119758267,0.25,59800,2018-05-11
561686.14970825,159915.SZ,419603.6111975827,0.25,59800,2018-05-14
563842.0922082501,159915.SZ,421278.01119758264,0.25,59800,2018-05-15
559242.74820825,159915.SZ,420620.21119758266,0.25,59800,2018-05-16
554499.6747082501,159915.SZ,419663.41119758267,0.25,59800,2018-05-17
560536.31370825,,419406.6000975827,0.0,0,2018-05-18
563267.17420825,,419406.6000975827,0.0,0,2018-05-21
